Date,Time ,Bout,Video Sequence,Video ID,Pdog ID,Sex,Numerical Category code,Numerical Category,Ethogram Tag,Prairie Dog Behavior,Numerical Category code (snakes),Numerical Category,Ethogram Tag,Snake Behavior,Time stamp,* Curiosities,
7/11/2021,4:08 PM,0,1,4316,Scar L jaw under nose,F,1= Posting,,NA,On all fours,1 = body flattening,1 = Moving,NA,No snake visible ,0,in bout 0 and 1 episode 1 the pdogs move their mouth around after sniffing inside the burrow,
,,,,,,,2= Jump yip,1,Posting,Post leaning forward,2 = body orientation,2 = Moving + tongue flickering,NA,No snake visible ,0:03,,
,,,,,,,3= Approach,8,Rocking +Sniffing,Forward-back rocking- sniffing ,3 = coiled resting,3 = Moving + head raise + tongue flickering,NA,No snake visible ,0:09,,
,,,,,,,4=Scratching,1,Posting,Post leaning forward,4 = coiled strike,4 = Head raise,NA,No snake visible ,0:11,,
,,,,,,,5=Pushing dirt,8,Rocking +Sniffing,Forward-back rocking- sniffing ,5 = dorsal ventral flattening,5 = Head raise + head oriented toward dog,NA,No snake visible ,0:21,,
,,,,,,,6=Rocking,,NA,Out of film view ,6 = half coil,6 = Head raise + head oriented toward dog + tongue flickering,NA,No snake visible ,0:37,,
,,,,,,,7=Sniffing,9,Approach + Sniffing,Approach - sniffing,7 = head concealment,7 = Half coil + tongue flickering,NA,No snake visible ,0:38,,
,,,,,,,8=Rocking + Sniffing,,NA,Out of film view ,8 = head orientation,8 = Tongue flickering,NA,No snake visible ,0:56,,
,,,,,,,9=Approach +Sniffing,8,Rocking +Sniffing,Forward-back rocking- sniffing ,9 = head raise (swaying or jerking movement),9 = Coiled strike + tongue flickering,NA,No snake visible ,0:57,,
,,,,,,,10=Retreat,11,Jump back,Jump back ,10 = moving,10 = Coiled resting + tongue flickering,NA,No snake visible ,1:01,,
,,,,,,,11= Jump Back,9,Approach + Sniffing,Approach - sniffing,11 = neck flattening,11 = Coiled resting,NA,No snake visible ,1:03,,
,,,,,,,12- Escort,4,Scratching,Scratch ,12 = rattling,12 = Head raise + tongue flickering,NA,No snake visible ,1:11,,
,,,,,,,12-Foraging,5,Pushing dirt,Front feet surface dig,13 = striking,,NA,No snake visible ,1:12,,
,,,,,,,13- Investigating,4,Scratching,Scratch ,14 = tail posture (elevated or resting),,NA,No snake visible ,1:12,,
,,,,,,,14- Touch face,8,Rocking +Sniffing,Forward-back rocking- sniffing ,15 = tongue flicking,,NA,No snake visible ,1:14,,
,,,,,,,15-Moving away,5,Pushing dirt,Front feet surface dig,,,NA,No snake visible ,,,
,,,,,,,17- Strike,4,Scratching,Scratch ,,,NA,No snake visible ,1:15,,
,,,,,,,18- Vocalizing,8,Rocking +Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible ,1:16,,
,,,,,,,19- Head to head,10,Retreat,Retreat,,,NA,No snake visible ,1:22,,
,,,,,,,20-Fake foraging,,NA,Out of film view ,,,NA,No snake visible ,1:23,,
,,,,,,,21-Observing ,2,Jump Yip,Jump yip,,,NA,No snake visible ,1:25,,
,,,,,,,22- Greet kiss,,NA,Out of film view ,,,NA,No snake visible ,1:23,,
,,,,,,,,8,Rocking +Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible ,1:36,,
,,,,,,,,5,Pushing dirt,Front feet surface dig,,,,,,,
,,,,,,,,4,Scratching,Scratch ,,,NA,No snake visible ,1:43,,
,,,,,,,,8,Rocking +Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible ,1:45,,
,,,,,,,,4,Scratching,Scratch ,,,NA,No snake visible ,1:47,,
,,,,,,,,15,Moving away,Turn away from burrow,,,NA,No snake visible ,1:50,,
,,,,,,,,8,Rocking +Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible ,1:52,,
,,,,,,,,5,Pushing dirt,Front feet surface dig,,,,,,,
,,,,,,,,4,Scratching,Scratch ,,,NA,No snake visible ,1:54,,
,,,,,,,,4,Scratching,Scratch ,,,NA,No snake visible ,1:54,,
,,,,,,,,15,Moving away,Turn away from burrow,,,NA,No snake visible ,1:56,,
,,,,,,,,8,Rocking +Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible ,1:57,,
,,,,,,,,5,Pushing dirt,Front feet surface dig,,,,,,,
,,,,,,,,4,Scratching,Scratch ,,,NA,No snake visible ,2:03,,
