"","Approach","Approach + Sniffing","Escorting","Foreleg drumming","Jump back","Jump yip","Posting","Retreat","Rocking","Rocking + Sniffing","Scratching","Sniffing"
"Approach","","","","","","","","","","","",""
"Approach + Sniffing"," 0.043  ","","","","","","","","","","",""
"Escorting","-0.423  "," 0.260  ","","","","","","","","","",""
"Foreleg drumming","-0.024  ","-0.277  "," 0.464  ","","","","","","","","",""
"Jump back","-0.191  ","-0.310  "," 0.079  "," 0.520  ","","","","","","","",""
"Jump yip"," 0.385  ","-0.176  ","-0.373  "," 0.035  ","-0.136  ","","","","","","",""
"Posting","-0.235  "," 0.258  "," 0.331  "," 0.122  "," 0.132  "," 0.257  ","","","","","",""
"Retreat","-0.142  "," 0.210  "," 0.708**"," 0.323  "," 0.353  ","-0.618* "," 0.033  ","","","","",""
"Rocking"," 0.104  "," 0.089  ","-0.272  ","-0.427  ","-0.498  "," 0.557  "," 0.174  ","-0.328  ","","","",""
"Rocking + Sniffing","-0.025  "," 0.308  ","-0.155  ","-0.662* ","-0.386  ","-0.007  "," 0.210  "," 0.034  "," 0.708**","","",""
"Scratching","-0.237  ","-0.460  ","-0.296  "," 0.020  "," 0.113  "," 0.020  ","-0.309  ","-0.566  ","-0.448  ","-0.598* ","",""
"Sniffing","-0.103  ","-0.014  "," 0.154  ","-0.291  "," 0.346  ","-0.088  "," 0.157  "," 0.369  ","-0.024  "," 0.169  ","-0.103  ",""
