,Approach,,,,,,,,,,
Approach + Sniffing,0.043,Approach + Sniffing,,,,,,,,,
Escorting,-0.423,0.26,Escorting,,,,,,,,
Foreleg drumming,-0.024,-0.277,0.464,Foreleg drumming,,,,,,,
Jump back,-0.191,-0.31,0.079,0.52,Jump back,,,,,,
Jump yip,0.385,-0.176,-0.373,0.035,-0.136,Jump yip,,,,,
Posting,-0.235,0.258,0.331,0.122,0.132,0.257,Posting,,,,
Retreat,-0.142,0.21, 0.708**,0.323,0.353,-0.618* ,0.033,Retreat,,,
Rocking,0.104,0.089,-0.272,-0.427,-0.498,0.557,0.174,-0.328,Rocking,,
Rocking + Sniffing,-0.025,0.308,-0.155,-0.662* ,-0.386,-0.007,0.21,0.034, 0.708**,Rocking + Sniffing,
Scratching,-0.237,-0.46,-0.296,0.02,0.113,0.02,-0.309,-0.566,-0.448,-0.598* ,Scratching
Sniffing,-0.103,-0.014,0.154,-0.291,0.346,-0.088,0.157,0.369,-0.024,0.169,-0.103
