"","Approach","Approach + Sniffing","Escorting","Foreleg drumming","Jump back","Jump yip","Posting","Retreat","Rocking","Rocking + Sniffing","Scratching","Sniffing"
"Approach",NA,0.894268552687772,0.171053333020588,0.940179208120087,0.55155290741601,0.216571268239657,0.462220934482771,0.660043978177519,0.74667328807437,0.939121700828721,0.458701885590874,0.749513964965501
"Approach + Sniffing",0.894268552687772,NA,0.413882526527414,0.382710331450797,0.326791460153962,0.58493152092952,0.418938953359996,0.512121945138899,0.784146380464211,0.330111937318504,0.132739988685395,0.964755730853928
"Escorting",0.171053333020588,0.413882526527414,NA,0.12904206062299,0.807899315523784,0.232254724707561,0.293750811256979,0.00996354402373445,0.391579824711063,0.629844226489079,0.351056988096032,0.63232062536775
"Foreleg drumming",0.940179208120087,0.382710331450797,0.12904206062299,NA,0.0830799186183386,0.914846207983413,0.706202653681313,0.305226006014997,0.166085336696398,0.0189379462046058,0.951625463535054,0.359076960919605
"Jump back",0.55155290741601,0.326791460153962,0.807899315523784,0.0830799186183386,NA,0.673002816544163,0.681879281820764,0.260165842097337,0.0990887647379699,0.215854753381636,0.726391909918448,0.271193789648656
"Jump yip",0.216571268239657,0.58493152092952,0.232254724707561,0.914846207983413,0.673002816544163,NA,0.420514253953908,0.0322716948729735,0.0597997628869122,0.982728660642251,0.951986207042169,0.785144670944312
"Posting",0.462220934482771,0.418938953359996,0.293750811256979,0.706202653681313,0.681879281820764,0.420514253953908,NA,0.919607332434901,0.588775618908458,0.512504961643367,0.329143646634824,0.6252937383045
"Retreat",0.660043978177519,0.512121945138899,0.00996354402373445,0.305226006014997,0.260165842097337,0.0322716948729735,0.919607332434901,NA,0.297456864103815,0.917570423747256,0.0552447593908059,0.238396206130288
"Rocking",0.74667328807437,0.784146380464211,0.391579824711063,0.166085336696398,0.0990887647379699,0.0597997628869122,0.588775618908458,0.297456864103815,NA,0.00999363628307548,0.144242988225899,0.94162013161292
"Rocking + Sniffing",0.939121700828721,0.330111937318504,0.629844226489079,0.0189379462046058,0.215854753381636,0.982728660642251,0.512504961643367,0.917570423747256,0.00999363628307548,NA,0.0401907448551109,0.600387295793034
"Scratching",0.458701885590874,0.132739988685395,0.351056988096032,0.951625463535054,0.726391909918448,0.951986207042169,0.329143646634824,0.0552447593908059,0.144242988225899,0.0401907448551109,NA,0.749193235038375
"Sniffing",0.749513964965501,0.964755730853928,0.63232062536775,0.359076960919605,0.271193789648656,0.785144670944312,0.6252937383045,0.238396206130288,0.94162013161292,0.600387295793034,0.749193235038375,NA
